# LEMpy all scores file for replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111121609_lempy/lempy_20251111121609_config.txt 
# Time series data file:   ../tmp/tmp_20251111121609.tsv 
# Ground truth edge list:   
# Computed on:  2025-11-11 12:23:42 
 
model	pld	loss	norm_loss
Ophio5|2056=tf_act(Ophio5|6920)	0.0161553	505.86875349482307	0.9951692865645446
Ophio5|491=tf_act(Ophio5|1654)	0.0161422	888.316645203406	0.9047383460409683
Ophio5|1654=tf_rep(Ophio5|6920)	0.0160869	604.3100564423282	0.6902945616581198
Ophio5|4218=tf_rep(Ophio5|512)	0.0160838	589.5170436770198	0.9999999999999997
Ophio5|4218=tf_rep(Ophio5|997)	0.0160838	589.5170436770198	0.9999999999999997
Ophio5|4218=tf_rep(Ophio5|8321)	0.0160838	589.5170436770197	0.9999999999999994
Ophio5|4218=tf_rep(Ophio5|84)	0.0160838	589.5170436770198	0.9999999999999997
Ophio5|4218=tf_rep(Ophio5|6920)	0.0160838	589.5170436770201	1.0
Ophio5|4218=tf_rep(Ophio5|8584)	0.0160838	589.51704367702	0.9999999999999998
Ophio5|4218=tf_rep(Ophio5|392)	0.0160838	589.5170436770198	0.9999999999999997
Ophio5|4218=tf_rep(Ophio5|3300)	0.0160838	589.5170436770198	0.9999999999999997
Ophio5|3760=tf_act(Ophio5|392)	0.0159006	642.3778986640001	0.7369579781636161
Ophio5|2056=tf_act(Ophio5|756)	0.0158862	508.3243226296825	0.9999999999999277
Ophio5|512=tf_rep(Ophio5|6920)	0.0157794	633.8973708520801	1.0000000000000857
Ophio5|512=tf_rep(Ophio5|392)	0.0157794	633.8973708520301	1.0000000000000069
Ophio5|512=tf_rep(Ophio5|8321)	0.0157794	633.8973708520701	1.00000000000007
Ophio5|2056=tf_act(Ophio5|2137)	0.0153358	508.3243226296825	0.9999999999999277
Ophio5|1654=tf_act(Ophio5|512)	0.0150974	735.5002304701866	0.8401511836173067
Ophio5|6835=tf_act(Ophio5|1479)	0.0146073	436.7577797155929	0.7787526753719944
Ophio5|491=tf_act(Ophio5|997)	0.0145718	905.6775368364628	0.9224201765759479
Ophio5|4218=tf_act(Ophio5|8604)	0.0145664	589.4316916787159	0.999855217081135
Ophio5|3760=tf_act(Ophio5|8604)	0.0144946	656.3346967751337	0.7529696960932186
Ophio5|512=tf_act(Ophio5|8604)	0.0144823	538.6410805535564	0.8497291601471154
Ophio5|997=tf_act(Ophio5|84)	0.014325	550.0853038117311	0.9121995048244927
Ophio5|491=tf_rep(Ophio5|3760)	0.0137989	916.5434853690653	0.9334869964499602
Ophio5|3300=tf_act(Ophio5|84)	0.0135444	587.0436167789666	0.6382808327203979
Ophio5|491=tf_rep(Ophio5|5850)	0.0132407	861.8546851955975	0.877787201919398
Ophio5|4218=tf_rep(Ophio5|491)	0.0131666	576.7960734163192	0.9784213698363057
Ophio5|392=tf_rep(Ophio5|84)	0.0131496	557.7685672584856	0.6075341367916302
Ophio5|997=tf_act(Ophio5|8604)	0.0129187	603.0317939248872	0.9999999999999574
Ophio5|997=tf_act(Ophio5|2137)	0.0128299	603.0317939248816	0.9999999999999482
Ophio5|2137=tf_act(Ophio5|2056)	0.012549	471.609987688598	0.5759924196047309
Ophio5|2056=tf_rep(Ophio5|8584)	0.0124752	508.324322629684	0.9999999999999307
Ophio5|1654=tf_rep(Ophio5|5850)	0.0124327	731.1744507172907	0.835209908511057
Ophio5|756=tf_rep(Ophio5|8604)	0.0120547	342.80289048174023	0.5394324535436049
Ophio5|4218=tf_rep(Ophio5|5850)	0.0119925	589.5170436770197	0.9999999999999994
Ophio5|8584=tf_rep(Ophio5|1479)	0.0119853	504.49444666517593	0.788434212895118
Ophio5|2237=tf_rep(Ophio5|6835)	0.0118859	520.9459975208357	0.7550002711396829
Ophio5|5850=tf_act(Ophio5|997)	0.0118781	737.5674935572206	0.9220087549448431
Ophio5|2056=tf_act(Ophio5|512)	0.0115381	506.4134106031158	0.996240762163971
Ophio5|2056=tf_act(Ophio5|392)	0.0114512	505.94849747593884	0.9953261627508014
Ophio5|512=tf_rep(Ophio5|6835)	0.0114164	543.2715271278821	0.8570338860968411
Ophio5|491=tf_rep(Ophio5|8584)	0.0113749	873.8246991977617	0.8899784973644196
Ophio5|5850=tf_act(Ophio5|8321)	0.011263	715.4938298417402	0.8944151972336364
Ophio5|2056=tf_rep(Ophio5|3760)	0.011081	508.3243226296825	0.9999999999999277
Ophio5|5850=tf_rep(Ophio5|2237)	0.0107195	799.9571474799541	1.0000000000000002
Ophio5|5850=tf_rep(Ophio5|1654)	0.0107195	799.9571468429717	0.9999999992037295
Ophio5|5850=tf_rep(Ophio5|392)	0.0107195	799.9571474799541	1.0000000000000002
Ophio5|1654=tf_rep(Ophio5|512)	0.0107156	765.2630348715057	0.874148800898206
Ophio5|5850=tf_rep(Ophio5|3760)	0.0106658	799.9499055044608	0.9999909470457062
Ophio5|4218=tf_rep(Ophio5|2137)	0.0105965	585.157916952396	0.9926055967823514
Ophio5|1654=tf_act(Ophio5|491)	0.0105269	825.0206061067141	0.9424090027628075
Ophio5|2056=tf_act(Ophio5|3760)	0.0104482	508.14270777630753	0.9996427185453725
Ophio5|997=tf_act(Ophio5|491)	0.0103971	602.7044114938449	0.9994571058535119
Ophio5|1654=tf_act(Ophio5|2237)	0.010325	665.502158965026	0.7601934076851435
Ophio5|2056=tf_rep(Ophio5|6835)	0.0102502	506.45746332452813	0.9963274247914535
Ophio5|3760=tf_act(Ophio5|5850)	0.0101766	687.3138526767258	0.788510047257128
Ophio5|4218=tf_act(Ophio5|756)	0.0099896	589.5170436770198	0.9999999999999997
Ophio5|2056=tf_act(Ophio5|84)	0.00989937	507.05571176176164	0.9975043278248134
Ophio5|997=tf_act(Ophio5|1654)	0.00985353	602.5844213707691	0.9992581277493977
Ophio5|997=tf_rep(Ophio5|8604)	0.00969759	602.4794289602665	0.9990840201624341
Ophio5|997=tf_act(Ophio5|756)	0.00968107	603.0317939248814	0.9999999999999478
Ophio5|997=tf_rep(Ophio5|5850)	0.00949898	578.6214903213007	0.9595207021428597
Ophio5|4218=tf_rep(Ophio5|1654)	0.00944911	579.134337268152	0.9823877756882013
Ophio5|5850=tf_act(Ophio5|84)	0.0093822	799.9571474799537	0.9999999999999997
Ophio5|4218=tf_rep(Ophio5|756)	0.00933198	577.2642633694419	0.979215562231834
Ophio5|2056=tf_rep(Ophio5|5850)	0.00929548	508.3243226296825	0.9999999999999277
Ophio5|2056=tf_rep(Ophio5|491)	0.00928332	506.2940780954252	0.9960060055285356
Ophio5|3760=tf_rep(Ophio5|2237)	0.00916896	622.1568705551468	0.7137597205297793
Ophio5|997=tf_rep(Ophio5|8584)	0.00914536	581.1936641263926	0.9637861054449818
Ophio5|997=tf_rep(Ophio5|3760)	0.00910775	598.7291014147528	0.99286489940745
Ophio5|8584=tf_rep(Ophio5|2137)	0.00908881	470.24991637422073	0.7349161623707058
Ophio5|491=tf_act(Ophio5|756)	0.00905601	826.7529993991894	0.8420366153215073
Ophio5|6835=tf_rep(Ophio5|3760)	0.00904899	418.9933234011933	0.7470780984694924
Ophio5|512=tf_rep(Ophio5|491)	0.00881297	550.7399983005129	0.8688157162732186
Ophio5|491=tf_act(Ophio5|2056)	0.00875162	847.406660595252	0.8630720865930576
Ophio5|8584=tf_rep(Ophio5|5850)	0.00862612	549.4404982803565	0.8586768192552175
Ophio5|4218=tf_rep(Ophio5|8604)	0.00861595	589.5170436770198	0.9999999999999997
Ophio5|8321=tf_rep(Ophio5|84)	0.00860808	550.5455919173739	0.5203546387620932
